"name","birthdate","deathdate","pname","othername","wordming","birthplace","achievement"
"王海萍","1904","1932","王朝鸾","卢哇利",,"广东海南海口（今属海南省）",
"王培吾","1906","1931","王报德","王安国",,"安徽寿县",
"王揖唐","1877","1948",,"赓","字一堂","安徽合肥",
"王辉球","1911","2003",,,,"江西省万安县雁塔村",
"王道邦","1911","1959","王朝秀",,,"江西永新",
"王蕴瑞","1910","1989","王永瑞",,,"河北巨鹿",
"王稼祥","1906","1974","嘉祥","稼蔷",,"安徽泾县",
"王德三","1898","1930","王懋廷","王正麟",,"云南祥云",
"王德泰","1908","1936",,,,"山东",
"王鹤寿","1909","1999",,,,"河北省唐县",
"王瀛","1905","1927","王义昌",,"字海峰","陕西神木",
"王耀武","1903","1968",,,"字佐民","山东泰安",
"王克","1931",,,,,"江苏萧县（今属安徽）",
"王瑞林","1930",,,,,"山东招远",
"王胜俊","1946",,,,,"安徽宿州",
"王乐泉","1944",,,,,"山东寿光",
"王秉璋","1914","2005",,,,"河南安阳",
"王诚汉","1917","2009",,,,"湖北黄安（今红安）",
"王淦昌","1907","1998",,,,"江苏常熟",
"王茂润","1936","2008",,,,"山东荣成",
"王启人","1941","2001",,,,"陕西勉县",
"王志珍","1942",,,,,"江苏苏州",
"韦杰","1914","1987","韦士良",,,"壮族，广西东兰人",
"韦国清","1913","1989","韦邦宽",,,"壮族，广西东兰县劳石山坡村",
"区梦觉","1906","1992",,"又名区润燕，化名周爱霞、苏云",,"广东南海",
"车向忱","1898","1971","车庆和",,,"辽宁法库",
"车耀先","1894","1946","车荣华",,,"四川大邑",
"冈村宁次","1884","1966",,,,"日本东京",
"毛泽东","1893","1976",,,"字润之","湖南湘潭","中国共产党、中国人民解放军、中华人民共和国的主要缔造者和领导人，伟大的马克思主义者、无产阶级革命家、战略家和理论家。"
"毛泽民","1896","1943",,,"字润连","湖南湘潭","毛泽东之弟"
"毛泽覃","1905","1935",,,"字润菊","湖南湘潭","毛泽东之弟"
"毛科文","1898","1929",,"毛兴文","号隆智","湖南宜章",
"毛致用","1929",,,,,"湖南岳阳",
"乌兰夫","1906","1988",,"云泽",,"蒙古族，内蒙古土默特旗塔ト村",
"乌云其木格","1942",,,,,"蒙古族，辽宁北票",
"文年生","1907","1968",,,,"湖南岳阳",
"方仲如","1901","1983",,"方廷桢",,"陕西咸阳",
"方志敏","1899","1935",,,,"江西弋阳",
"方英","1906","1931","方运炽","高中林",,"安徽寿县",
"方振武","1885","1941","方运策",,"字叔平","安徽寿县",
"方理明","1905","1937",,"方胜、方礼明",,"湖南平江",
"方维夏","1879","1936",,,"号竹雅","湖南平江",
"方毅","1916","1997",,"方清吉、方静吉",,"福建省厦门市",
"尹林平","1908","1984",,"尹利东、林平",,"江西兴国",
"巴金","1904","2005","李尧棠","笔名:王文慧、欧阳镜蓉、黄树辉、余一","字芾甘","四川成都",
"邓子恢","1896","1972",,,,"福建龙岩",
"邓发","1906","1946","元钊",,,"广东云浮",
"邓中夏","1894","1933",,,,"湖南宜章",
"邓华","1910","1980","多华",,"字实秋","湖南郴州县（今郴县）",
"邓兆祥","1903","1998",,,,"广东省高要县肇庆镇双木棉村（现为肇庆市）",
"邓赤中","1904","1928","邓友声",,"字文煊","湖北沔阳",
"邓初民","1889","1982",,,"字昌权","湖北石首",
"邓拓","1912","1966","邓子健",,,"福建闽侯",
"邓拔奇","1903","1931",,"邓岗",,"广西怀集（今属广东）",
"邓宝珊","1894","1968","瑜",,,"甘肃天水",
"邓宗海","1902","1932",,,"字继树，号白露","湖南耒阳",
"邓振询","1904","1943",,"仲铭、重民",,"江西兴国",
"邓铁梅","1892","1934","邓古儒",,,"辽宁本溪",
"邓萍","1908","1935",,,,"四川富顺",
"邓乾元","1904","1934","兴坤","董清",,"湖南溆浦",
"邓湘君","1902","1934",,,,"湖南平江",
"邓锡侯","1889","1964",,,"字晋康","四川营山",
"邓演达","1895","1931",,,"字择生","广东惠阳",
"邓稼先","1924","1986",,,,"安徽怀宁",
"邓毅刚","1904","1931",,"邓伟","字厦材","湖南汝城县附城乡邓家村",
"邓朴方","1944",,,,,"四川广安",
"孔荷宠","1896","1956",,"别名孔介如、孔庆如，化名曾庆福、曾福生",,"湖南平江",
"孔原","1906","1990","陈铁铮","田夫、田心",,"江西萍乡",
"孔祥熙","1880","1967",,,"字庸之","山西太谷","孔子第七十五代孙"
"云布龙","1937","2000",,,,"蒙古族、内蒙古土默特左旗",
"尤太忠","1918","1998",,,,"河南光山",
"贝时璋","1903","2009",,,,"浙江镇海",
